grade,unit,main_track,accompaniment_track,lesson,resource_role
K2,1,1.14,1.15,5,pupil-book-accompaniment
K2,2,1.27,1.28,5,pupil-book-accompaniment
K2,3,1.41,1.42,5,pupil-book-accompaniment
K2,4,2.09,2.10,5,pupil-book-accompaniment
K2,5,2.24,2.25,5,pupil-book-accompaniment
K2,6,2.37,2.38,5,pupil-book-accompaniment
K2,7,3.05,3.06,5,pupil-book-accompaniment
K2,8,3.20,3.21,5,pupil-book-accompaniment
K2,9,3.35,3.36,5,pupil-book-accompaniment
K3,1,1.14,1.15,5,pupil-book-accompaniment
K3,2,1.28,1.29,5,pupil-book-accompaniment
K3,3,1.42,1.43,5,pupil-book-accompaniment
K3,4,2.06,2.07,5,pupil-book-accompaniment
K3,5,2.23,2.24,5,pupil-book-accompaniment
K3,6,2.37,2.38,5,pupil-book-accompaniment
K3,7,3.09,3.10,5,pupil-book-accompaniment
K3,8,3.28,3.29,5,pupil-book-accompaniment
K3,9,3.45,3.46,5,pupil-book-accompaniment
